0,1,2,3,4,0,1,2,3,4
Korea,"Engineering, Economics","Computing, Media Technology",English,Aug - Dec,Korea,"Business,  Engineering","Computing, Media Technology",English,Aug - Dec
Korea,"Business,  Engineering","Computing, Media Technology",English,Aug - Dec,Korea,"Business, Electrical Engineering,","Computing, Media Technology",English,Aug - Dec
Korea,"Business, Electrical Engineering,","Computing, Media Technology",English,Aug - Dec,Korea,"Business, Computing, Korean Culture","Computing, Media Technology",English,Aug - Dec
Korea,"Business, Computing, Korean Culture","Computing, Media Technology",English,Aug - Dec,Korea,"Business, Tourism, Media Technology","Computing, Media Technology",English,Aug - Dec
Korea,"Business, Tourism, Media Technology","Computing, Media Technology",English,Aug - Dec,Korea,"Business, Computer Science, Psychology","Computing, Media Technology",English,Aug - Dec
Korea,"Business, Computer Science, Psychology","Computing, Media Technology",English,Aug - Dec,Latvia,"Business, Computer Science, Psychology","Computing, Media Technology",English,Aug - Dec
Latvia,"Business, Computer Science, Psychology","Computing, Media Technology",English,Aug - Dec,Latvia,Engineering (Erasmus+),"Computing, Media Technology",English,Aug - Dec
Latvia,Engineering (Erasmus+),"Computing, Media Technology",English,Aug - Dec,Latvia,"Computer Science, Media Technology","Computing, Media Technology",English,Aug - Dec
Latvia,"Computer Science, Media Technology","Computing, Media Technology",English,Aug - Dec,Latvia,"Business, Engineering, Civil Engineering","Computing, Media Technology",English,Aug - Dec
Latvia,"Business, Engineering, Civil Engineering","Computing, Media Technology",English,Aug - Dec,Latvia,Business (Erasmus+),"Computing, Media Technology",English,Aug - Dec
Latvia,Business (Erasmus+),"Computing, Media Technology",English,Aug - Dec,Lebanon,"Business, Engineering","Computing, Media Technology",English,Aug - Dec
Lebanon,"Business, Engineering","Computing, Media Technology",English,Aug - Dec,Lithuania,"Business, Tourism (Erasmus+)","Computing, Media Technology",English,Aug - Dec
Lithuania,"Business, Tourism (Erasmus+)","Computing, Media Technology",English,Aug - Dec,Lithuania,"Engineering, ICT (Erasmus+)","Computing, Media Technology",English,Aug - Dec
Lithuania,"Engineering, ICT (Erasmus+)","Computing, Media Technology",English,Aug - Dec,Lithuania,"Building & Civil Engineering, Industrial","Computing, Media Technology",English,Aug - Dec
Lithuania,"Building & Civil Engineering, Industrial","Computing, Media Technology",English,Aug - Dec,Luxembourg,"Building & Civil Engineering, Industrial","Computing, Media Technology","French, English",Aug - Dec
Luxembourg,"Building & Civil Engineering, Industrial","Computing, Media Technology","French, English",Aug - Dec,Malaysia,"Electrical Engineering, Media Technology","Computing, Media Technology",English,Aug - Dec
Malaysia,"Electrical Engineering, Media Technology","Computing, Media Technology",English,Aug - Dec,Malaysia,All Study Programs (undergraduate /,"Computing, Media Technology",English,Aug - Dec
Malaysia,All Study Programs (undergraduate /,"Computing, Media Technology",English,Aug - Dec,Malta,All Study Programs (undergraduate /,"Computing, Media Technology",English,Aug - Dec
Malta,All Study Programs (undergraduate /,"Computing, Media Technology",English,Aug - Dec,Malta,"Business, Media Technology; Double","Computing, Media Technology",English,Aug - Dec
Malta,"Business, Media Technology; Double","Computing, Media Technology",English,Aug - Dec,Mexico,"Business, Media Technology; Double","Computing, Media Technology",Spanish,Aug - Dec
Mexico,"Business, Media Technology; Double","Computing, Media Technology",Spanish,Aug - Dec,Mexico,"Economics, Media Technology","Computing, Media Technology",Spanish,Aug - Dec
Mexico,"Economics, Media Technology","Computing, Media Technology",Spanish,Aug - Dec,Mexico,"Business, Tourism","Computing, Media Technology",Spanish,Aug - Dec
Mexico,"Business, Tourism","Computing, Media Technology",Spanish,Aug - Dec,Mexico,"Business & Engineering, Media","Computing, Media Technology","Spanish, possibly",Aug - Dec
Mexico,"Business & Engineering, Media","Computing, Media Technology","Spanish, possibly",Aug - Dec,Mexico,"Business & Engineering, Media","Computing, Media Technology",English,Aug - Dec
Mexico,"Business & Engineering, Media","Computing, Media Technology",English,Aug - Dec,Mongolia,Training Sciences (2 semester!),"Computing, Media Technology",possibly English,Aug - Dec
Mongolia,Training Sciences (2 semester!),"Computing, Media Technology",possibly English,Aug - Dec,Mongolia,"Business, Economics","Computing, Media Technology",possibly English,Aug - Dec
Mongolia,"Business, Economics","Computing, Media Technology",possibly English,Aug - Dec,Mongolia,"Engineering, Informatics, Health","Computing, Media Technology",possibly English,Aug - Dec
Mongolia,"Engineering, Informatics, Health","Computing, Media Technology",possibly English,Aug - Dec,Namibia,"Engineering, Informatics, Health","Computing, Media Technology",English,Aug - Dec
Namibia,"Engineering, Informatics, Health","Computing, Media Technology",English,Aug - Dec,Namibia,"Sciences, Business","Computing, Media Technology",English,Aug - Dec
Namibia,"Sciences, Business","Computing, Media Technology",English,Aug - Dec,Netherlands,Business (Erasmus+),"Computing, Media Technology",English,Aug - Dec
Netherlands,Business (Erasmus+),"Computing, Media Technology",English,Aug - Dec,Netherlands,"B  u  s  in  e  s sa n  d Engineering, ICT","Computing, Media Technology",English,Aug - Dec
Netherlands,"B  u  s  in  e  s sa n  d Engineering, ICT","Computing, Media Technology",English,Aug - Dec,Netherlands,"Business and Engineering, ICT","Computing, Media Technology",English,Aug - Dec
